"","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
"ENSG00000005022.5",7.09803208296053,8.73131903102506,9.74651432113846,9.81378119121704,8.86418614465428,8.61838550225861,10.0848083878044,8.17492568250068,9.47370574961942,10.1910592145317,8.15987133677839,10.1006623390052
"ENSG00000005102.8",0,2.8073549220576,1.58496250072116,3.90689059560852,2.58496250072116,3.32192809488736,3.16992500144231,1,3.32192809488736,4.08746284125034,3.90689059560852,4
"ENSG00000005108.11",0,0,1,0,2,0,3.16992500144231,0,2.8073549220576,5.35755200461808,0,2.32192809488736
"ENSG00000005175.5",5.78135971352466,7.67948009950545,9.10328780841202,9.4093909361377,8.35314682549808,8.27146302790437,9.08214904135387,6.88264304936184,8.10852445677817,9.09275714091985,6.96578428466209,8.65463602852797
"ENSG00000005187.7",4.64385618977472,5.39231742277876,6.5077946401987,6.64385618977472,6.35755200461808,8.91288933622996,5.70043971814109,3.58496250072116,5.49185309632967,6.4093909361377,5.7279204545632,5.12928301694497
"ENSG00000005243.5",0,2.58496250072116,2.8073549220576,4.39231742277876,2.58496250072116,2.8073549220576,4,2,3.8073549220576,4.24792751344359,0,3.8073549220576
"ENSG00000005249.8",7.07681559705083,8.17990909001493,8.78463484555752,9.85486838326024,9.7714894695006,9.63843591399047,9.06069593168755,7.77478705960117,9.91288933622996,11.3404064908533,9.49385544924082,10.2749604721406
"ENSG00000005381.6",4.64385618977472,5.55458885167764,6.24792751344359,5.6724253419715,4.4594316186373,5.88264304936184,8.79766152585376,5.58496250072116,8.78463484555752,6.68650052718322,6.49185309632967,10.4231159101471
"ENSG00000005436.9",4.95419631038687,6.70043971814109,8.56985560833095,7.467605550083,7.17990909001493,6.52356195605701,8.13955135239879,6.7279204545632,7.58496250072116,7.95419631038687,6.68650052718322,7.85174904141606
"ENSG00000005448.12",3,5.08746284125034,5.85798099512757,5.90689059560852,5.4594316186373,2.58496250072116,6.49185309632967,4.75488750216347,6.35755200461808,6.32192809488736,4.08746284125034,6.02236781302845
"ENSG00000005471.11",2,1.58496250072116,5.55458885167764,4,4.52356195605701,2,6.8703647195834,5.55458885167764,6.18982455888002,7.23840473932508,4.52356195605701,6
"ENSG00000005513.9",3,2,4.90689059560852,6,4.90689059560852,2.32192809488736,3.32192809488736,2,5.20945336562895,5.32192809488736,4.64385618977472,5.49185309632967
"ENSG00000005700.10",7.11894107272351,8.7176764230664,10.1279943209764,9.83289001416474,8.86727873970966,8.39660478118186,10.2348174311173,8.37068740680722,9.50382573799575,9.91587937883577,8.07681559705083,9.74819284958946
"ENSG00000005801.12",5.4594316186373,7.21916852046216,8.81378119121704,8.39660478118186,7.12928301694497,6.82017896241519,8.64745842645492,6.91886323727459,7.79441586635011,8.4093909361377,6.93073733756289,7.97727992349992
"ENSG00000005812.6",8.08746284125034,9.66888498426625,11.0056245491939,11.1104833098162,9.98868468677217,10.1848753429083,11.2708792953288,9.06608919045777,10.5622424242211,11.3094763538411,9.33539035469392,11.3314768218596
"ENSG00000005884.13",3,3,5.83289001416474,6.10852445677817,4.90689059560852,2.58496250072116,6.04439411935845,4.08746284125034,6.10852445677817,6.10852445677817,4.24792751344359,6.37503943134692
"ENSG00000005889.11",7.62205181945638,9.51569983828404,10.4481163054095,10.4978518369511,9.61286849729104,9.53332973230583,10.7125270004398,8.64024493622235,10.0687782779854,10.6054795180617,8.93957921431469,10.8895039634115
"ENSG00000005893.11",9.51963625284321,11.2395985292491,11.8249587405285,12.443202577297,11.427312844135,11.6741922681457,12.6112553886993,10.0265234425198,11.8193807908646,12.5643876960526,10.2502984179063,13.2457012462858
"ENSG00000005961.13",6.24792751344359,7.4178525148859,6.37503943134692,8.46352437327118,9.49385544924082,9.20945336562895,8.5077946401987,6.74146698640115,9.39660478118186,11.0347989625773,8.94251450533924,10.5555477716471
"ENSG00000006025.7",5.04439411935845,6.75488750216347,7.68650052718322,7.44294349584873,6.58496250072116,5.78135971352466,7.88874324889826,6.22881869049588,7.60733031374961,7.78135971352466,5.90689059560852,7.85174904141606
"ENSG00000006282.15",5.8073549220576,6.04439411935845,7.70043971814109,7.89481776330794,7.32192809488736,6.28540221886225,8.37503943134693,6.5077946401987,8.24792751344359,8.42206476617281,5.85798099512757,6.32192809488736
"ENSG00000006327.9",2.8073549220576,5.32192809488736,6.16992500144231,6.37503943134692,5.78135971352466,5.83289001416474,6.52356195605701,4,5.4594316186373,6.8073549220576,4.39231742277876,7.09803208296053
"ENSG00000006432.11",4.08746284125034,5.35755200461808,6.53915881110803,6.10852445677817,5.78135971352466,4.75488750216347,6.79441586635011,5.8073549220576,6.20945336562895,6.74146698640115,4.4594316186373,7.17990909001493
"ENSG00000006451.3",5.7279204545632,7.49984588708321,8.65463602852797,8.37503943134693,7.56985560833095,6.88264304936184,8.74819284958946,6.4757334309664,8.23840473932508,8.65105169117893,6.8703647195834,8.45532722030456
"ENSG00000006453.9",1.58496250072116,0,2.8073549220576,4.08746284125034,1.58496250072116,0,2.8073549220576,0,3.16992500144231,3.8073549220576,3,3
"ENSG00000006534.11",6.90689059560852,8.59618975614441,9.04984854945056,9.23601419190008,8.29462074889163,8.52356195605701,9.4655664048094,7.12928301694497,9.1548181090521,9.72109918870719,7.68650052718322,9.97010589061218
"ENSG00000006625.13",3.32192809488736,5.85798099512757,7.02236781302845,6.58496250072116,5.70043971814109,5.6724253419715,6.7279204545632,4.70043971814109,5.88264304936184,6.5077946401987,5,6.33985000288462
"ENSG00000006638.7",1.58496250072116,4.08746284125034,4.8073549220576,4.32192809488736,4.24792751344359,3.58496250072116,5.16992500144231,1,5.24792751344359,6.18982455888002,3.8073549220576,5.83289001416474
"ENSG00000006652.9",8.36194377373524,10.3454052467178,10.6447575925163,11.2894425756883,9.91288933622996,10.7887183326905,11.6193029554157,9.2045711442492,10.4231159101471,11.2149261879424,9.28540221886225,11.8265484872909
"ENSG00000006704.6",0,0,1,0,1.58496250072116,0,1.58496250072116,1,2.58496250072116,2.8073549220576,0,2
"ENSG00000006712.10",6,7.10852445677817,8.19967234483636,8.58120058192496,7.85174904141606,7.40087943628218,8.82017896241519,7.18982455888002,8.56985560833095,8.98013957763916,7,9.4093909361377
"ENSG00000006715.11",7.63662462054365,9.60362634498619,10.286557761608,10.3923174227788,9.63481105017172,9.64024493622235,10.6891244049133,8.79766152585376,10.3782948559119,10.6917435191713,8.78463484555752,11.0980320829605
"ENSG00000006740.12",1,0,0,0,0,0,0,2,3.8073549220576,1,0,0
"ENSG00000006747.10",0,1.58496250072116,3.70043971814109,1,1.58496250072116,0,2.32192809488736,1,2,2,2.32192809488736,1
"ENSG00000006756.11",6,7.70043971814109,7.82654848729092,8.57742882803575,7.14974711950468,6.96578428466209,8.27612440527424,6.16992500144231,7.96000193206808,8.55842071326866,6.52356195605701,8.90388184573618
"ENSG00000006837.7",0,0,2.8073549220576,2.32192809488736,1.58496250072116,0,1,1,2.58496250072116,2.58496250072116,2.32192809488736,3.32192809488736
"ENSG00000007038.6",1,3.32192809488736,4.70043971814109,3.4594316186373,2.8073549220576,0,2.58496250072116,0,2.58496250072116,5,2.8073549220576,3.70043971814109
"ENSG00000007129.13",5,7.09803208296053,8.04984854945056,7.7279204545632,6.82017896241519,6.74146698640115,8.41362792902417,6.02236781302845,7.56224242422107,7.91886323727459,6.16992500144231,8.79766152585376
"ENSG00000007255.6",4.52356195605701,6,7.60733031374961,7.05528243550119,6.78135971352466,5.90689059560852,7.4262647547021,5.85798099512757,7.4178525148859,7.78790255939143,6,7.49185309632967
"ENSG00000007264.9",6.4757334309664,8.63299519714296,9.21674585819531,8.63662462054365,8.00562454919388,8.60362634498619,9.57175264350355,8.10852445677817,9.03617361255349,9.30149619498255,6.79441586635011,9.54109661534952
"ENSG00000007312.8",4.39231742277876,5.75488750216347,8.88874324889826,7.23840473932508,7.45121111183233,5.85798099512757,10.1749256825007,8.62205181945638,9.35974956032233,10.2155329997457,7.56985560833095,9.38370429247405
"ENSG00000007314.7",0,0,0,1.58496250072116,1,0,2.32192809488736,2.8073549220576,1.58496250072116,2.58496250072116,2,1
"ENSG00000007372.16",0,0,0,0,0,0,0,0,1,3.58496250072116,1,0
"ENSG00000007376.3",5.52356195605701,7.12928301694497,8.10328780841202,8.1548181090521,7.18982455888002,7.10852445677817,8.66888498426625,6.8703647195834,8.02236781302845,8.56605403817109,6.52356195605701,8.64745842645492
"ENSG00000007402.7",2.58496250072116,5.28540221886225,5.95419631038687,5,4.32192809488736,4.58496250072116,6.12928301694497,3.32192809488736,5.35755200461808,5.4594316186373,3.8073549220576,5.55458885167764
